RCS Basic VESA — task_history 더미 데이터
================================================================================
※ task_name 의 "배치(x100)" prefix 제거 → "작업" 으로 단순화
※ robot_name : S352601807094Qq / S352601807095Qr / S352601807096Qs 중 랜덤
※ 작업1→작업2 실패 행 : 끝에 몰리지 않고 100회 시도 중 랜덤 위치
※ 시드 고정 (재실행해도 같은 결과)

# [작업1 → 작업2] 이전 측정  총 100 / 성공 90 / 실패 10  (실패 위치 랜덤)
----+--------------------+--------------+----------+-----------------+-----------------+------------------+-----------+------------------------
id  | task_name          | route_name   | robot_id | robot_name      | pickup_poi_name | dropoff_poi_name | status    | error_message          
----+--------------------+--------------+----------+-----------------+-----------------+------------------+-----------+------------------------
1   | 작업: 작업1→작업2 | 작업1→작업2 | 5        | S352601807094Qq | 작업1           | 작업2            | succeeded |                        
2   | 작업: 작업1→작업2 | 작업1→작업2 | 5        | S352601807094Qq | 작업1           | 작업2            | failed    | 오류: 이동 중 이상 감지
3   | 작업: 작업1→작업2 | 작업1→작업2 | 6        | S352601807095Qr | 작업1           | 작업2            | succeeded |                        
4   | 작업: 작업1→작업2 | 작업1→작업2 | 6        | S352601807095Qr | 작업1           | 작업2            | succeeded |                        
5   | 작업: 작업1→작업2 | 작업1→작업2 | 5        | S352601807094Qq | 작업1           | 작업2            | failed    | 오류: 이동 중 이상 감지
6   | 작업: 작업1→작업2 | 작업1→작업2 | 6        | S352601807095Qr | 작업1           | 작업2            | succeeded |                        
7   | 작업: 작업1→작업2 | 작업1→작업2 | 7        | S352601807096Qs | 작업1           | 작업2            | succeeded |                        
8   | 작업: 작업1→작업2 | 작업1→작업2 | 7        | S352601807096Qs | 작업1           | 작업2            | succeeded |                        
9   | 작업: 작업1→작업2 | 작업1→작업2 | 5        | S352601807094Qq | 작업1           | 작업2            | succeeded |                        
10  | 작업: 작업1→작업2 | 작업1→작업2 | 6        | S352601807095Qr | 작업1           | 작업2            | succeeded |                        
11  | 작업: 작업1→작업2 | 작업1→작업2 | 5        | S352601807094Qq | 작업1           | 작업2            | succeeded |                        
12  | 작업: 작업1→작업2 | 작업1→작업2 | 7        | S352601807096Qs | 작업1           | 작업2            | succeeded |                        
13  | 작업: 작업1→작업2 | 작업1→작업2 | 6        | S352601807095Qr | 작업1           | 작업2            | succeeded |                        
14  | 작업: 작업1→작업2 | 작업1→작업2 | 5        | S352601807094Qq | 작업1           | 작업2            | succeeded |                        
15  | 작업: 작업1→작업2 | 작업1→작업2 | 5        | S352601807094Qq | 작업1           | 작업2            | succeeded |                        
16  | 작업: 작업1→작업2 | 작업1→작업2 | 6        | S352601807095Qr | 작업1           | 작업2            | succeeded |                        
17  | 작업: 작업1→작업2 | 작업1→작업2 | 5        | S352601807094Qq | 작업1           | 작업2            | succeeded |                        
18  | 작업: 작업1→작업2 | 작업1→작업2 | 7        | S352601807096Qs | 작업1           | 작업2            | succeeded |                        
